name_urn,name,language_urn,language,gender,name_type
Q220401,Zopf,Q188,German,NA,surname
Q222105,Jääskeläinen,Q1412,Finnish,NA,surname
Q226761,Zorn,Q9063,Slovene,NA,surname
Q230225,Zupančič,Q9063,Slovene,NA,surname
Q230229,Hecht,Q188,German,NA,surname
Q233193,Wesley,Q1860,English,NA,surname
Q237732,Tyshchenko,Q8798,Ukrainian,NA,surname
Q242426,Leconte,Q150,French,NA,surname
Q243304,Langevin,Q150,French,NA,surname
Q245145,Zwyssig,Q387066,Swiss German,NA,surname
Q263542,Griffith,Q1860,English,NA,surname
Q264344,Davidsson,Q9027,Swedish,NA,surname
Q267326,Dekker,Q7411,Dutch,NA,surname
Q271313,Åström,Q9027,Swedish,NA,surname
Q272332,Çakmak,Q256,Turkish,NA,surname
Q272853,Çiçek,Q256,Turkish,NA,surname
Q279478,O'Hagan,Q9142,Irish,NA,surname
Q285912,Nicolai,Q7411,Dutch,NA,surname
Q290348,Fehér,Q9067,Hungarian,NA,surname
Q292880,Ó Cuív,Q9142,Irish,NA,surname
Q297063,Schott,Q188,German,NA,surname
Q297574,Önal,Q256,Turkish,NA,surname
Q298283,Östberg,Q9027,Swedish,NA,surname
Q298325,Österberg,Q9027,Swedish,NA,surname
Q300676,Aabech,Q9035,Danish,NA,surname
Q300775,Aadland,Q9043,Norwegian,NA,surname
Q300824,Aakula,Q1412,Finnish,NA,surname
Q300990,Aamodt,Q9043,Norwegian,NA,surname
Q301610,Aaron,Q1860,English,NA,surname
Q303183,Aarts,Q7411,Dutch,NA,surname
Q304622,Izzet,Q256,Turkish,NA,surname
Q306749,Abbott,Q1860,English,NA,surname
Q307771,Özdilek,Q256,Turkish,NA,surname
Q307776,Özdoğan,Q256,Turkish,NA,surname
Q307783,Özer,Q256,Turkish,NA,surname
Q307878,Özhan,Q256,Turkish,NA,surname
Q307914,Özkök,Q256,Turkish,NA,surname
Q307944,Özmert,Q256,Turkish,NA,surname
Q307945,Özoğuz,Q256,Turkish,NA,surname
Q321251,Abildgaard,Q9035,Danish,NA,surname
Q327106,Heracleum,Q9063,Slovene,NA,surname
Q331445,Abril,Q1321,Spanish,NA,surname
Q334893,Ünal,Q256,Turkish,NA,surname
Q335668,Þorsteinsson,Q294,Icelandic,NA,surname
Q395503,Agosti,Q652,Italian,NA,surname
Q399710,De Bruijn,Q7411,Dutch,NA,surname
Q400508,Ahlgren,Q9027,Swedish,NA,surname
Q403153,Ài,Q7850,Chinese,NA,surname
Q403433,de Jong,Q7411,Dutch,NA,surname
Q404721,Macpherson,Q1860,English,NA,surname
Q405906,Hicks,Q1860,English,NA,surname
Q409677,Ambrosini,Q652,Italian,NA,surname
Q409995,Coltrane,Q1860,English,NA,surname
Q412179,Wilk,Q1860,English,NA,surname
Q413535,Kosinski,Q1860,English,NA,surname
Q414325,Cantoni,Q652,Italian,NA,surname
Q414592,Rapp,Q150,French,NA,surname
Q414927,Greenspan,Q1860,English,NA,surname
Q415399,Lahti,Q1412,Finnish,NA,surname
Q415460,Dufour,Q150,French,NA,surname
Q415564,Akalın,Q256,Turkish,NA,surname
Q416943,Akdağ,Q256,Turkish,NA,surname
Q416960,Akdemir,Q256,Turkish,NA,surname
Q417600,Akgül,Q256,Turkish,NA,surname
Q419161,Rey,Q1321,Spanish,NA,surname
Q419460,Weinert,Q188,German,NA,surname
Q420404,Frenkel,Q188,German,NA,surname
Q421604,Aksoy,Q256,Turkish,NA,surname
Q421649,Kenyon,Q1860,English,NA,surname
Q424429,Akyol,Q256,Turkish,NA,surname
Q424447,Akyüz,Q256,Turkish,NA,surname
Q426463,Lewis,Q1860,English,NA,surname
Q428024,Klein,Q188,German,NA,surname
Q428664,Saionji,Q5287,Japanese,NA,surname
Q431274,Glover,Q1860,English,NA,surname
Q431758,Nagy,Q9067,Hungarian,NA,surname
Q431890,Barrett,Q1860,English,NA,surname
Q449411,Bennett,Q1860,English,NA,surname
Q449508,Okada,Q5287,Japanese,NA,surname
Q450440,Karpinski,Q809,Polish,NA,surname
Q451705,Amadei,Q652,Italian,NA,surname
Q452023,Gibb,Q1860,English,NA,surname
Q474185,Amoruso,Q652,Italian,NA,surname
Q474666,Garfinkel,Q8641,Yiddish,NA,surname
Q18549,Bowers,Q1860,English,NA,surname
Q25229,Kern,Q188,German,NA,surname
Q28657,Fotopoulos,Q9129,Greek,NA,surname
Q32876,De Lange,Q7411,Dutch,NA,surname
Q46767,Meyer,Q188,German,NA,surname
Q59853,Jones,Q1860,English,NA,surname
Q116425,Bjarnason,Q294,Icelandic,NA,surname
Q116974,Marashi,Q9168,Persian,NA,surname
Q117469,Tsintsadze,Q8108,Georgian,NA,surname
Q119444,Blacher,Q188,German,NA,surname
Q120050,Neuberger,Q188,German,NA,surname
Q120268,Aaker,Q1860,English,NA,surname
Q120401,Kennedy,Q1860,English,NA,surname
Q122787,Bellucci,Q652,Italian,NA,surname
Q126642,Erdinç,Q256,Turkish,NA,surname
Q127040,Mutlu,Q256,Turkish,NA,surname
Q127706,Țițeica,Q7913,Romanian,NA,surname
Q131983,Sturm,Q188,German,NA,surname
Q138887,Radulović,Q9301,Serbo-Croatian,NA,surname
Q139281,Zacchia,Q652,Italian,NA,surname
Q144532,Zając,Q809,Polish,NA,surname
Q144724,Téllez,Q1321,Spanish,NA,surname
Q145210,Weiss,Q188,German,NA,surname
Q164892,Fernández,Q1321,Spanish,NA,surname
Q167812,Zayas,Q1321,Spanish,NA,surname
Q177276,Reichmann,Q188,German,NA,surname
Q179205,Mitchell,Q1860,English,NA,surname
Q180158,Jóhannsson,Q294,Icelandic,NA,surname
Q181502,Daniel,Q1860,English,NA,surname
Q184882,Zeilberger,Q188,German,NA,surname
Q187724,Özçelik,Q256,Turkish,NA,surname
Q189182,Zelman,Q8641,Yiddish,NA,surname
Q189537,Zengin,Q256,Turkish,NA,surname
